['03/13/2021', ['18', '15'], '51', '11', '270', '18*', '3900*', '10']
['03/13/2021', ['18', '35'], '49', '8', '280', '18*', '3900*', '10']
['03/13/2021', ['18', '55'], '48', '8', '240', '18*', '3900*', '10']
['03/14/2021', ['06', '35'], '36', '7', '330', '18*', '3900*', '10']
['03/14/2021', ['06', '55'], '36', '6', '330', '18*', '3900*', '10']
['03/14/2021', ['07', '15'], '36', '6', '340', '18*', '3900*', '10']
['03/14/2021', ['07', '35'], '37', '6', '350', '18*', '3900*', '10']
['03/14/2021', ['07', '55'], '38', '8', '350', '18*', '3900*', '10']
['03/14/2021', ['08', '15'], '39', '8', '350', '18*', '3900*', '10']
['03/14/2021', ['08', '35'], '40', '5', '350', '18*', '3900*', '10']
['03/14/2021', ['08', '55'], '42', '13', '10', '18', '3900*', '10']
['03/14/2021', ['09', '15'], '42', '14', '10', '20', '3900*', '10']
['03/14/2021', ['09', '35'], '43', '11', '360', '17', '3900*', '10']
['03/14/2021', ['10', '15'], '44', '9', '350', '16', '3900*', '10']
['03/14/2021', ['10', '35'], '44', '11', '360', '17', '3900*', '10']
['03/14/2021', ['11', '15'], '44', '14', '340', '17', '3900*', '10']
['03/14/2021', ['11', '35'], '44', '10', '340', '20', '3900*', '10']
['03/14/2021', ['12', '15'], '46', '13', '20', '17', '3900*', '10']
['03/14/2021', ['12', '35'], '46', '11', '20', '17', '3900*', '10']
['03/14/2021', ['12', '55'], '46', '9', '350', '18', '3900*', '10']
['03/14/2021', ['13', '15'], '45', '9', '20', '18', '3900*', '10']
['03/14/2021', ['13', '35'], '46', '15', '20', '18*', '3900*', '10']
['03/14/2021', ['13', '55'], '46', '13', '20', '18', '3900*', '10']
['03/14/2021', ['14', '15'], '46', '8', '360', '17', '3900*', '10']
['03/14/2021', ['14', '35'], '47', '14', '20', '20', '3900*', '10']
['03/14/2021', ['14', '55'], '46', '15', '20', '20*', '3900*', '10']
['03/14/2021', ['15', '15'], '45', '13', '40', '18', '3900*', '10']
['03/14/2021', ['15', '35'], '46', '11', '50', '20', '3900*', '10']
['03/14/2021', ['15', '55'], '45', '10', '20', '18', '3900*', '10']
['03/14/2021', ['16', '15'], '44', '11', '50', '17', '3900*', '10']
['03/14/2021', ['16', '35'], '43', '10', '50', '17*', '3900*', '10']
['03/14/2021', ['16', '55'], '43', '11', '30', '17*', '3900*', '10']
['03/14/2021', ['17', '15'], '42', '9', '60', '17*', '3900*', '10']
['03/14/2021', ['17', '35'], '41', '8', '50', '17*', '3900*', '10']
['03/14/2021', ['17', '55'], '40', '10', '40', '17*', '3900*', '10']
['03/14/2021', ['18', '15'], '39', '8', '40', '17*', '3900*', '10']
['03/14/2021', ['18', '35'], '38', '7', '40', '17*', '3900*', '10']
['03/14/2021', ['18', '55'], '36', '6', '50', '17*', '3900*', '10']
['03/15/2021', ['13', '55'], '37', '9', '110', '18', '3900*', '10']
['03/15/2021', ['14', '35'], '36', '11', '90', '20', '3900*', '10']
['03/16/2021', ['11', '55'], '40', '0', '0', '0*', '2100', '10']
['03/16/2021', ['12', '15'], '40', '0', '0', '0*', '2100', '10']
['03/16/2021', ['12', '35'], '40', '3', '320', '0*', '2100', '10']
['03/16/2021', ['12', '55'], '42', '0', '0', '0*', '2100', '10']
['03/16/2021', ['13', '15'], '42', '0', '0', '0*', '2300', '10']
['03/16/2021', ['13', '35'], '43', '3', '300', '0*', '2500', '10']
['03/16/2021', ['13', '55'], '43', '0', '0', '0*', '2500', '10']
['03/16/2021', ['14', '15'], '44', '0', '0', '0*', '2500', '10']
['03/16/2021', ['14', '35'], '46', '0', '0', '0*', '2500', '10']
['03/16/2021', ['14', '55'], '45', '3', '330', '0*', '2700', '10']
['03/16/2021', ['15', '15'], '44', '3', '320', '0*', '2700', '10']
['03/16/2021', ['15', '35'], '45', '5', '330', '0*', '2700', '10']
['03/16/2021', ['15', '55'], '46', '3', '340', '0*', '2900', '10']
['03/16/2021', ['16', '15'], '46', '6', '330', '0*', '2900', '10']
['03/16/2021', ['16', '35'], '47', '7', '280', '0*', '2900', '10']
['03/16/2021', ['16', '55'], '46', '5', '240', '0*', '2900', '10']
['03/16/2021', ['17', '15'], '44', '7', '300', '0*', '2900', '10']
['03/16/2021', ['17', '35'], '44', '7', '300', '0*', '3100', '10']
